task_idx,instance_id,pattern_A_Ap_B,A_correct,A_finished,A_stop,A_compactions,A_branches,A_gen_tokens,A_dup_searches,A_searches,A_main_turns,A_peak_ctx,Ap_correct,Ap_finished,Ap_stop,Ap_compactions,Ap_branches,Ap_gen_tokens,Ap_dup_searches,Ap_searches,Ap_main_turns,Ap_peak_ctx,B_correct,B_finished,B_stop,B_compactions,B_branches,B_gen_tokens,B_dup_searches,B_searches,B_main_turns,B_peak_ctx,question_head
127,1077,000,0,1,finish,0,0,2127,0,2,4,24364,0,0,llm_none,0,0,1518,1,3,6,44025,0,0,budget_exhausted,3,0,5744,1,7,2,35695,An author wrote the first part in a two part article about depression research w
128,1095,100,1,1,finish,0,1,3908,0,1,3,13082,0,0,llm_none,0,0,1457,0,1,9,39187,0,0,budget_exhausted,3,0,8645,10,13,9,34925,Provide the name of the person who was born in the 1940s. This individual was bo
129,1101,111,1,1,finish,0,2,2451,5,7,3,36436,1,1,finish,0,0,1264,0,1,3,14557,1,1,finish,0,0,1444,0,1,3,14808,An ocean conservation organization brought attention to a global crime endangeri
130,1108,101,1,1,finish,0,2,2253,0,2,3,19684,0,1,finish,0,0,2220,0,3,5,37714,1,1,finish,1,0,4162,1,5,10,34632,Please tell me the aircraft's registration number that fits the following detail
131,1124,000,0,1,finish,0,2,4016,0,7,5,37585,0,0,llm_none,0,0,2308,0,5,10,41317,0,0,budget_exhausted,3,0,3862,2,8,7,34994,There is a band formed in the 70s that sang in several languages. The band's pre
132,1148,101,1,1,finish,0,1,1872,0,2,3,16161,0,0,llm_none,0,0,658,2,4,11,43088,1,1,finish,0,0,1740,0,3,6,21851,"Prior to 2010, four poems by the same writer were published in the same issue of"
133,1150,000,0,1,finish,0,5,4947,6,14,6,37146,0,0,llm_none,0,0,672,2,3,7,40525,0,0,budget_exhausted,3,0,6280,0,7,4,33084,"In a blog post submitted online sometime after 2010 and before 2015, the writer "
134,1161,000,0,1,finish,0,0,4155,0,3,8,32037,0,1,finish,0,0,3218,0,3,5,24914,0,0,budget_exhausted,3,0,7481,11,13,6,36317,Can you tell me the first and last name of this retired athlete who meets the fo
135,89,101,1,1,finish,0,2,5107,3,9,4,37552,0,0,llm_none,0,0,1509,2,4,7,47622,1,1,finish,2,0,3351,0,6,7,32210,There is a book published about one of the deadliest serial killers in American 
136,96,000,0,1,finish,0,3,2744,3,10,4,35783,0,0,llm_none,0,0,1556,2,4,8,37956,0,0,budget_exhausted,3,0,3096,1,7,5,32369,"According to a bulletin published in 2012, a syndicate of Scots established in 1"
137,97,101,1,1,finish,0,1,1458,0,4,2,37092,0,0,llm_none,0,0,2089,2,4,8,42536,1,1,finish,0,0,741,0,2,5,16348,"As of 2021, an artist with a bachelor's degree in biochemistry and a master's de"
138,109,000,0,1,finish,0,0,6613,0,3,5,36280,0,0,llm_none,0,0,7387,2,4,7,46193,0,0,budget_exhausted,3,0,9734,4,9,3,34310,Can you tell me the first and last birth name of this person based on the follow
139,376,000,0,1,finish,0,5,7346,1,16,8,37203,0,0,llm_none,0,0,4986,0,4,6,41447,0,0,budget_exhausted,3,0,6538,3,7,4,35520,There is a country that has been colonized and had different independence activi
140,397,111,1,1,finish,0,2,2530,0,2,3,19603,1,1,finish,0,0,1533,0,1,3,22985,1,1,finish,0,0,2811,0,2,4,23970,"A letter originated from a specific Air Force Base, which was also the site of a"
141,403,000,0,1,finish,0,0,3062,0,2,4,20574,0,0,llm_none,0,0,3127,1,4,5,39043,0,1,finish,0,0,3339,0,2,4,15748,I'm looking for the name of the place where a person was hospitalized with a liv
142,408,101,1,1,finish,0,3,2964,0,7,5,35526,0,0,llm_none,0,0,2392,0,5,6,44683,1,1,finish,0,0,1924,0,2,5,19135,"There is a software developer who, sometime after 2010 but before 2023, claimed "
143,417,000,0,1,finish,0,1,1937,0,3,4,25691,0,0,llm_none,0,0,601,1,4,8,41993,0,0,budget_exhausted,3,0,3868,3,14,8,32706,There is a person who used an animal-related nickname on the internet to represe
144,418,000,0,1,finish,0,1,2732,0,3,4,27056,0,0,llm_none,0,0,3020,1,5,9,40579,0,0,budget_exhausted,3,0,5126,3,4,6,32576,A beauty company unveiled in the 2000s was founded by someone who had worked pri
145,422,000,0,1,finish,0,2,4760,1,5,4,32868,0,0,llm_none,0,0,4915,0,4,7,42832,0,0,budget_exhausted,3,0,5649,10,14,6,36194,"A paper was published well into the 20th century, and by December 2023, it had m"
146,438,000,0,1,finish,0,2,2711,4,6,3,37074,0,1,finish,0,0,2889,0,4,8,27311,0,1,finish,0,0,2878,0,2,5,18901,"In 2014, a couple celebrated their wedding and worked with several vendors: - Th"
147,446,000,0,0,llm_none,0,0,4232,3,7,9,39569,0,0,llm_none,0,0,5353,0,1,4,43493,0,0,budget_exhausted,3,0,6775,12,15,7,34479,What's the name of a 12-time best-selling author whose first novel was published
148,165,101,1,1,finish,0,0,1927,0,3,4,27135,0,0,llm_none,0,0,973,2,4,8,44918,1,1,finish,1,0,3342,0,2,6,31130,"As of December 2023, what is the name of the movie based on the details below:  "
149,176,000,0,1,finish,0,4,4349,7,17,5,37297,0,0,llm_none,0,0,3101,0,4,8,43552,0,1,finish,0,0,6188,0,2,6,29871,A Harvard award-winning author wrote an article less than 5 years before receivi
